,associated_work,MCorMD,engine,molecule,replicate,temperature,density,density-std,forcefield
699,MoSDeF,MD,lammps-VU,pentaneUA-flexible_bonds,2,372.0,0.5422763275905882,0.011910879236604692,trappe-ua
700,MoSDeF,MD,lammps-VU,pentaneUA-flexible_bonds,4,372.0,0.54318899454467,0.012107426022677056,trappe-ua
701,MoSDeF,MC,cassandra,waterSPCE,12,280.0,1.0094140222108334,0.0071554147502430636,spce
702,MoSDeF,MD,gromacs,pentaneUA-flexible_bonds,0,372.0,0.5348019108580627,0.01923531632165254,trappe-ua
703,MoSDeF,MD,lammps-VU,ethanolAA,1,320.0,0.773867355308634,0.007777035373512819,oplsaa
704,MoSDeF,MD,hoomd,waterSPCE,14,320.0,0.9861234125986766,0.007883619744003251,spce
705,MoSDeF,MD,gromacs,benzeneUA,11,450.0,0.693777154395781,0.0236361180923503,benzene-ua
706,MoSDeF,MC,gomc,ethanolAA,14,300.0,0.7885900781909168,0.006399015090256513,oplsaa
707,MoSDeF,MD,gromacs,waterSPCE,0,300.0,0.9978161716289554,0.007736913446150514,spce
708,MoSDeF,MC,cassandra,ethanolAA,2,320.0,0.76790780176,0.008257046237406774,oplsaa
709,MoSDeF,MC,mcccs,waterSPCE,4,320.0,0.9856186897775745,0.0071818867135451875,spce
710,MoSDeF,MC,gomc,waterSPCE,13,320.0,0.9852482428944168,0.007292960621740566,spce
711,MoSDeF,MD,lammps-VU,waterSPCE,15,300.0,0.9980571027161619,0.007604190648359143,spce
712,MoSDeF,MC,cassandra,pentaneUA-constrain_bonds,10,372.0,0.5415000918400001,0.011780081579618153,trappe-ua
713,MoSDeF,MC,gomc,waterSPCE,1,300.0,0.9973694745866666,0.0062400857685199805,spce
714,MoSDeF,MC,mcccs,waterSPCE,8,280.0,1.0073297248805362,0.006934705696388454,spce
715,MoSDeF,MC,mcccs,ethanolAA,10,320.0,0.767194057628432,0.008197095811679211,oplsaa
716,MoSDeF,MC,cassandra,waterSPCE,1,280.0,1.0072099045499998,0.005917055387798704,spce
717,MoSDeF,MD,gromacs,ethanolAA,13,280.0,0.8170268562254347,0.009361059934371961,oplsaa
718,MoSDeF,MD,gromacs,ethanolAA,10,300.0,0.7953029263410013,0.009623829549725885,oplsaa
719,MoSDeF,MC,gomc,benzeneUA,7,450.0,0.6985329163153334,0.012625332285710483,benzene-ua
720,MoSDeF,MD,gromacs,benzeneUA,1,450.0,0.6975081773562279,0.01861188516290879,benzene-ua
721,MoSDeF,MC,cassandra,waterSPCE,0,280.0,1.0070097578316666,0.0076669211207402825,spce
722,MoSDeF,MC,mcccs,waterSPCE,13,320.0,0.9844329946724907,0.007339319098459693,spce
723,MoSDeF,MC,gomc,pentaneUA-constrain_bonds,15,372.0,0.5415194005778334,0.01177575291530239,trappe-ua
724,MoSDeF,MC,mcccs,waterSPCE,12,300.0,0.9984958758391479,0.007346496333456146,spce
725,MoSDeF,MD,gromacs,waterSPCE,9,280.0,1.006544500950884,0.007347738436098709,spce
726,MoSDeF,MD,hoomd,waterSPCE,5,300.0,0.997789327162653,0.007605083198216618,spce
727,MoSDeF,MC,gomc,waterSPCE,9,300.0,0.996801296322,0.005887818217086997,spce
